Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
2009.01.274,Donna Karan New York black wool jacket with gold lame banded trim,Costume; Garments; Jackets,"Black 100% wool jacket with gold lame banded trim. Label reads: ""Entirely Tailored by Hand. Made in Korea. Size 8""",Before 2009,Donna Karan New York. ,,Good condition. ,Gold band trim covers all seams.,KHW66C,Kathleen Kubas,
2009.01.275,Hilary Radley blue textured wool coat ,Costume; Garments; Coats,"Blue textured wool coat, patch pockets with flaps, front button closure. Made in Canada.",Before 2009,Hilary Radley ,Canada,Very good condition.,,KHW66C,Kathleen Kubas,
2009.01.276_A+B,Carolyn Roehm beige cashmere top and matching sweater jacket.,Costume; Garments; Sweaters,"A. Beige cashmere top with long sleeves, front button closure and waist ties. B. Matching sweater jacket. Label reads: ""Carolyn Roehm, Holt Renfrew, Made in Italy, Size M""",Before 2009,Carolyn Roehm,Italy,Good condition.,,Box 200,Kathleen Kubas,
2009.01.277,Feitt beige knit narrow calf-length skirt with banded waist,Costume; Garments; Skirts,Beige knit narrow calf-length skirt with banded waist,Before 2009,Feitt,,Good condition.,Skirt is very narrow. Small slit near hem,Box 202,Kathleen Kubas,
2009.01.278,Robin Kay beige knit womenswear trousers with banded waist,Costume; Garments; Trousers; ,Beige knit pants with banded waist,Before 2009,Robin Kay,,Good condition. Some damage from improper storage on wire hanger. ,"Blend of cotton, vicose, cashmere, nylon and angora. ",Box 202,Kathleen Kubas,
2009.01.279,Jean Paul Gaultier Femme satin oversize womenswear baseball jacket with embroidered back,Costume; Garments; Jackets,"Black and cream satin oversize womenswear baseball jacket with embroidered back, welt pockets in red satin. Sleeves are kimono style. Label reads: ""Made in Italy"".",Before 2009,Jean Paul Gaultier Femme,Italy,Good condition.,Sportswear style with Asian floral motif embroidery. Unusual garment.,KHW66C,Kathleen Kubas,
2009.01.280,Black jersey knit long sleeve top,Costume; Garments; Blouses,Black jersey knit long sleeve top,Before 2009,Unknown,,Good condition.,Perhaps worn with JPG Baseball jacket,KHW66C,Kathleen Kubas,
2009.01.283_A+B,Lida Baday green linen sleeveless top and overblouse,Costume; Garments; Capes,A. Light green linen sleeveless tunic style top B. Matching overblouse with drawstring waist.,Before 2009,Lida Baday,,Good condition.,,KHW66C,Kathleen Kubas,
2009.01.285,Jax burnt orange printed reptile leather jacket,Costume; Garments; Jackets,"Burnt orange collarless printed reptile leather jacket. Front zip closure. Sleeves have 1-inch cuffs. Lined in matching silk/polyester.  Label reads: ""Made in Canada""",Before 2009,Jax,Canada,Good condition. Shows signs of wear.,,KHW64B,Kathleen Kubas,
2009.01.286,Eskandar orange sweater coat,Costume; Garments; Sweaters,Orange long sweater coat,Before 2009,Eskandar,,Good condition.,No closures. ,Box 202,Kathleen Kubas,
2009.01.291A+B,Dominic Bellissimo denim and leather top and skirt,Costume; Garments; Blouses; Skirts,"A. Denim top with cap sleeves and black and yellow leather applique. Metal button closure on left shoulder. Decorative yellow top-stitching B. Matching denim knee-length skirt. Label reads: ""Made in Canada"".",1990-1995,Dominic Bellissimo Lindzon,Canada,Good condition.,Interesting combination of materials,KHW64B,Kathleen Kubas,
2009.01.292,Issey Miyake black amd white stripe pleated kimono style top,Costume; Garments; Blouses,"Black and white striped pleated kimono style top with handkerchief hem. Label reads: ""Made in Japan. Size 2""",Around 2000,Issey Miyake Féte.  ,Japan,Very good condition.,Innovative construction. 100% Polyester.,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.292_FRT_Web.jpg"
2009.01.293,Issey Miyake black pleated kimono style top,Costume; Garments; Dress,"Black pleated kimono style top with handkerchief hem. Single button closure. Label reads: ""Made in Japan. Size Small"". ",Around 2000,Issey Miyake ,Japan,Good condition. Some small holes visible in back.,Innovative construction. Label is in side seam. ,KHW66C,Kathleen Kubas,
2009.01.361,Issey Miyake orange blanket coat with asymmetrical closure,Costume; Garments; Coats,"Orange blanket coat with asymmetrical closure and large roll collar. Label reads: ""100% polyester. Made in Japan""",Before 2009,Issey Miyake,Japan,Good condition. Some pilling.,Very bold and vibrant colour,KHW66C Rack #1,Kathleen Kubas,
2009.01.362,Cream wool cashmere cape with white mink trim,Costume; Garments; Capes; ,Cream wool/cashmere cape with white mink trim. Concealed clasp near chest.,Before 2009,LF ,Canada,Near Perfect condition.,,KHW64A,Kathleen Kubas,
2009.01.363_A+B_,Jean Paul Gaultier cream wool blanket coat,Costume; Garments; Coats,"Cream wool blanket-style coat with tie belt. A. Coat is ined in silk satin with JPG signature print, sleeves are lined in striped cream satin. B. Belt",Before 2009,Jean Paul Gaultier Classique Paris,France,Good condition. Minor dirt.,Lining is a hidden luxury,KHW66C Rack #1,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.363_A+B_FRT_Web.jpg"
2009.01.364,Missoni gray striped wool poncho style coat-cape,Costume; Garments; Coats,"Gray and beige striped wool poncho style coat-cape with banded sleeves. Label reads: ""Missoni. Made in Italy. Size S.""",Before 2009,Missoni ,Italy,Good condition. Some pilling.,Unusual construction with banded sleeves. ,KHW66C,Kathleen Kubas,
2009.01.365,Gianfranco Ferre cream sweater with bands of gray chamois,Costume; Garments; Sweaters,"Cream vicose sweater with 2 horizontal bands of gray chamois  above fitted ribbed waistband. Button closure left over right. Lined in cream satin. Label reads: ""Gianfranco Ferre. Made in Italy""",Before 2009,Gianfranco Ferre,Italy,Good condition.,Chamois insert bands add visual interest. ,Box 202,Kathleen Kubas,
2009.01.366,Chloe Paris black wool box cut jacket,Costume; Garments; Jackets,"Black wool box cut jacket with stand collar, inset sleeves with 3 silver buttons at cuffs.",Before 2009,Chloe Paris,,Good condition.,Interesting cuff detail.,KHW66C,Kathleen Kubas,
2009.01.369,Gucci navy wool long coat with front zipper closure,Costume; Garments; Coats,"Navy wool long coat with front zipper closure, buttoned overpanel, patch pockets.",Before 2009,Gucci,,Good condition. Some pet hair.,Very beautifully finished.,KHW66C Rack #1,Kathleen Kubas,
2009.01.370A+B,Valerie Louthan red cashmere turtleneck sweater and matching blanket-like shawl,Costume; Garments; Sweater; Accessories,"A. Red cashmere turtleneck sweater. B. Matching blanket-like shawl/wrap. Label reads: ""Valerie Louthan, made in Scotland. Holt Renfrew""",Before 2009,Valerie Louthan,Scotland,Good condition. Small hole in wrap.,Blanket like wrap is one-piece. ,Box 201,Kathleen Kubas,
2009.01.371,Donna Karan black wool double breasted womenswear jacke,Costume; Garments; Jackets,"Black wool double breasted womenswear jacket, front welt pockets and gold buttons",1985-1995,Donna Karan,,Very good condition.,,KHW66C,Kathleen Kubas,
2009.01.372,Black fur scarf with fur fringe,Costume; Accessories; Scarves,Black fur scarf with fur fringe,Before 2009,Unknown,,Very good condition.,Fur has ribbed texture.,KHW64B Bin #3,Kathleen Kubas,
2009.01.373,Reversible multi-coloured cotton vest ,Costume; Garments; Vests,Reversible multi-coloured (mostly red tones) cotton vest. ,1990s,Unknown,,Very good condition.,Vest seems inconsistent with style of donor other than item is boldly coloured. Perhaps a gift?,KHW64A,Kathleen Kubas,
2009.01.374,Gucci cream wool ladies coat with fox fur collar,Costume; Garments; Coats,"Cream wool coat with red fox fur collar, satin lining and front pockets with top stitching. Collar is detachable.",2000-2005,Gucci,Italy,Good condition. Some visible stains on sleeves. Repaired chain loop near collar.,,KHW64B,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_11_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_2009.01.374_BCK_Web.jpg"
2009.01.376,Anne Klein gray wrap coat,Costume; Garments; Coats,"Gray angora, wool and cashmere wrap coat. Label reads: ""Made in USA""",Before 2009,Anne Klein,,Good condition.,,KHW66C Rack #1,Kathleen Kubas,
2009.01.377,Anne Klein gray long-sleeved dress with ruched band at waist,Costume; Garments; Dress,"Gray wool and cashmere long-sleeved dress with ruched band at waist, decorative metal piece on band. Back zipper closure.",Before 2009,Anne Klein,,Good condition.,,Box 202,Kathleen Kubas,
2009.01.379,St. John Sport cream knit trousers with elastic waist,Costume; Garments; Trousers; ,"Cream knit trousers with elastic waist and drawstring. Side pockets lined in acrylic. Label reads: ""St. John Sport by Marie Gray. Holt Renfrew Canada. Made in Mexico""",Before 2009,Marie Gray,Mexico,Good condition.,Upscale version of sweatpants,Box 202,Kathleen Kubas,
2009.01.380,Anne Klein satin jean jacket,Costume; Garments; Jackets,Peach/pink satin jean jacket.,1990-1995,Anne Klein,,Good condition.,,KHW66C,Kathleen Kubas,
2009.01.384_A+B,francess & rita black wool womenswear jacket and trousers,Costume; Garments; Jacket; Trousers,"A. Black wool womenswear jacket with round collar,  and front button closure. Decorative buttons at cuffs. Shaped hem and flap pockets. B. Matching pants are pleated with side pockets. Label reads: ""Size 8, Made in USA""",Before 2009,francess & rita,USA,Good condition. Some pet hair still visible. ,,KHW64A,Kathleen Kubas,
2009.01.385,Bagley Mishka cream Mongolian fur vest,Costume; Garments; Vests,Cream Mongolian fur vest. Lined in cream satin.,Before 2009,Bagley Mishka,,Very good condition.,One of many Mongolian fur pieces from this donor.,KHW64B,Kathleen Kubas,
2009.01.389,Byblos black wool coat with Mongolian fur collar and cuffs,Costume; Garments; Coats,Black angora/wool coat with Mongolian fur collar and cuffs. Mid-thigh length coat. Large patch pockets. No closures.,Before 2009,Byblos,,Very good condition.,Very dramatic coat,KHW64B,Kathleen Kubas,
2009.01.392,Zoran cream cashmere sleeveless dress,Costume; Garments; Dress,Cream cashmere sleeveless pullover calf-length tunic dress. Retailer label: Holt Renfrew,1990-2000,Zoran ,,Good condition.,Modesty panel in cream acrylic sewn into V-neck is a later addition.,Box 201,Kathleen Kubas,
2009.01.383,Gianfranco Ferre orange-red wool tunic dress with V-neck,Costume; Garments; Dress,"Orange-red wool tunic dress, V-neck, short sleeves, calf length. Size 42 Retailer label: H.R. Boutique",1990-2000,Gianfranco Ferre,,Good condition. A little stretched out from hanging.,,Box 200,Kathleen Kubas,
2009.01.386,Oscar de la Renta double faced mustand and purple wool kimono car coat with patch pockets,Costume; Garments; Coats,"Double faced mustand and purple wool kimono car coat with patch pockets. Label reads: ""Made in the USA. Size 6"". ",1980s,Oscar de la Renta,USA,Good condition.,Big shoulder pads. ,KHW66C,Kathleen Kubas,
2009.01.387,Krizia light brown boucle wool coat with flap pockets,Costume; Garments; Coats,Light brown boucle wool coat/sweater with flap pockets.,Before 2009,Krizia,,Fair condition. Pilling of wool.,,KHW66C,Kathleen Kubas,
2009.01.388,Dejac orange-red kimono-style coat,Costume; Garments; Coats,"Orange-red wool kimono-style coat, front button closures and patch pockets",Before 2009,Dejac,,Very good condition.,Bright bold coloured coat.,KHW66C,Kathleen Kubas,
2009.01.390,Hilary Radley black polyester-spandex coat,Costume; Garments; Coats,"Black polyester-spandex coat with stand collar and raglan sleeves, Label reads: ""Size 10, Made in China"".",Before 2009,Hilary Radley,China,Near Perfect condition.,,KHW66C,Kathleen Kubas,
2009.01.391_A+B,Linda Lundstrom brown wool vest and skirt,Costume; Garments; Skirts; Vests,"Brown wool vest with tab sides and blazer-like collar, 2 metal snap closures; Matching midi-length wool skirt with paper-bag waist and unfinished hem. Belt with snap closure detail.",1990-2000,Linda Lundstrom,"Toronto, Canada","Good condition, some creases in skirt",,KHW66C,Kathleen Kubas,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_13_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_12_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_2009.01.391_A+B_Det_11_Web.jpg"
